"","parent","index","text"
"2606","1",2606,"“Anne Shirley, what does this mean?” "
"2634","1",2634,"“Oh how could you, Anne?” "
"2665","1",2665,"“Did you hear what I said, Anne?” "
"2684","1",2684,"“What are you taking all those things home for, Anne?” "
"2689","1",2689,"“Will Marilla let you stay home?” "
"2696","1",2696,"What shall I do? "
"2713","1",2713,"“Don’t you understand, Marilla? "
"2743","1",2743,"What would you advise, Rachel?”  "
"2774","1",2774,"“Whatever’s the matter now, Anne?” "
"2780","1",2780,"And oh, what shall I do? "
"2785","1",2785,"When had he heard Marilla laugh like that before?  "
"2792","1",2792,"It would be terrible if we just skipped from September to November, wouldn’t it? "
"2794","1",2794,"Don’t they give you a thrill--several thrills? "
"2821","1",2821,"Oh, Marilla, can I use the rosebud spray tea set?”  "
"2824","1",2824,"Well, what next? "
"2835","1",2835,"Can I take her into the spare room to lay off her hat when she comes? "
"2836","1",2836,"And then into the parlor to sit?”  "
"2846","1",2846,"“How is your mother?” "
"2849","1",2849,"I suppose Mr. Cuthbert is hauling potatoes to the _lily sands_ this afternoon, is he?” "
"2855","1",2855,"Have you picked many of your apples yet?”  "
"2863","1",2863,"I love bright red drinks, don’t you? "
"2883","1",2883,"There are so many responsibilities on a person’s mind when they’re keeping house, isn’t there?”  "
"2928","1",2928,"Why, Diana, what is the matter?”  "
"2938","1",2938,"Where do you feel bad?”  "
"2942","1",2942,"“Oh, Diana, do you suppose that it’s possible you’re really taking the smallpox? "
"2946","1",2946,"Where do you feel bad?”  "
"2955","1",2955,"“Whatever has gone wrong now, Anne?” "
"2969","1",2969,"“Anne are you or Mrs. Barry crazy? "
"2970","1",2970,"What on earth did you give her?”  "
"2983","1",2983,"Didn’t you know the difference yourself?”  "
"3019","1",3019,"“Mrs. Barry won’t forgive me?”  "
"3032","1",3032,"“What do you want?” "
"3037","1",3037,"How could I? "
"3039","1",3039,"Do you think you would intoxicate her on purpose? "
"3049","1",3049,"“Won’t you let me see Diana just once to say farewell?” "
"3066","1",3066,"“Your mother hasn’t relented?” "
"3074","1",3074,"“Oh, Diana, will you promise faithfully never to forget me, the friend of your youth, no matter what dearer friends may caress thee?”  "
"3077","1",3077,"“Oh, Diana,” cried Anne, clasping her hands, “do you _love_ me?”  "
"3079","1",3079,"Didn’t you know that?”  "
"3091","1",3091,"Diana, wilt thou give me a lock of thy jet-black tresses in parting to treasure forevermore?”  "
"3092","1",3092,"“Have you got anything to cut it with?” "
"3189","1",3189,"But really, Marilla, one can’t stay sad very long in such an interesting world, can one?”    "
"3206","1",3206,"“Matthew, did you ever study geometry when you went to school?”  "
"3220","1",3220,"I don’t think a teacher should take such a mean advantage, do you? "
"3226","1",3226,"What way do you vote, Matthew?”  "
"3232","1",3232,"Is that true, Matthew?”  "
"3234","1",3234,"“Did you ever go courting, Matthew?”  "
"3237","1",3237,"“It must be rather interesting, don’t you think, Matthew? "
"3254","1",3254,"And then shall I run down the cellar and get some russets, Matthew? "
"3255","1",3255,"Wouldn’t you like some russets?”  "
"3259","1",3259,"“Whatever is the matter, Diana?” "
"3261","1",3261,"“Has your mother relented at last?”  "
"3316","1",3316,"“Oh, Matthew, isn’t it a wonderful morning? "
"3317","1",3317,"The world looks like something God had just imagined for His own pleasure, doesn’t it? "
"3319","1",3319,"I’m so glad I live in a world where there are white frosts, aren’t you? "
"3326","1",3326,"But I hate to stay home, for Gil--some of the others will get head of the class, and it’s so hard to get up again--although of course the harder it is the more satisfaction you have when you do get up, haven’t you?”  "
"3331","1",3331,"“Oh, did you see the Premier?” "
"3333","1",3333,"“What did he look like Marilla?”  "
"3354","1",3354,"“Oh, Marilla, can I go right now--without washing my dishes? "
"3357","1",3357,"“Anne Shirley--are you crazy? "
"3372","1",3372,"That was a pretty dignified way of speaking wasn’t it, Marilla?”  "
"3385","1",3385,"And Mrs. Barry asked me if I took tea and said ‘Pa, why don’t you pass the biscuits to Anne?’ "
"3397","1",3397,"A Concert a Catastrophe and a Confession   |MARILLA, can I go over to see Diana just for a minute?” "
"3404","1",3404,"“How do you know she has?”  "
"3414","1",3414,"Two flashes mean, ‘Are you there?’ "
"3422","1",3422,"“Oh, Marilla, what do you think? "
"3427","1",3427,"You will, won’t you, Marilla? "
"3444","1",3444,"Please, mayn’t I go, Marilla?”  "
"3445","1",3445,"“You heard what I said, Anne, didn’t you? "
"3455","1",3455,"“Who’s bringing this child up, Matthew, you or me?”  "
"3507","1",3507,"“Oh, Diana,” breathed Anne, squeezing Diana’s mittened hand under the fur robe, “isn’t it all like a beautiful dream? "
"3508","1",3508,"Do I really look the same as usual? "
"3522","1",3522,"“Hasn’t it been a delightful time?” "
"3525","1",3525,"Do you suppose we will ever be asked to do it, Diana?”  "
"3529","1",3529,"Oh, Anne, how could you pretend not to listen to him? "
"3532","1",3532,"Are you ready for bed? "
"3539","1",3539,"“Oh, who was it--_what_ was it?” "
"3544","1",3544,"It’s dreadful--it’s really dreadful--but did you ever know anything so funny, Anne?”  "
"3545","1",3545,"“Who is your Aunt Josephine?”  "
"3553","1",3553,"“Did you have a good time last night? "
"3558","1",3558,"“So you and Diana nearly frightened poor old Miss Barry to death last night?” "
"3580","1",3580,"Can you tell me why it is so, Mrs. Lynde?”  "
"3586","1",3586,"Haven’t you never felt that yourself, Mrs. Lynde?”  "
"3595","1",3595,"“Your Aunt Josephine was very cross about it, wasn’t she?” "
"3603","1",3603,"“Why didn’t you tell them it was my fault?” "
"3605","1",3605,"“It’s likely I’d do such a thing, isn’t it?” "
"3625","1",3625,"“Who are you?” "
"3628","1",3628,"“Confess what?”  "
"3634","1",3634,"“Oh, I must, hey? "
"3650","1",3650,"Have you any imagination, Miss Barry? "
"3691","1",3691,"“Diana says perhaps they have something better, but there couldn’t be anything better than Mayflowers, could there, Marilla? "
"3695","1",3695,"Do you know what I think Mayflowers are, Marilla? "
"3752","1",3752,"Do you remember what happened this day last year, Marilla?”  "
"3760","1",3760,"Are you sorry you kept me, Marilla?”  "
"3764","1",3764,"“Too dark? "
"3769","1",3769,"“What has got into your head now, Anne Shirley? "
"3778","1",3778,"Are you crazy? "
"3779","1",3779,"What under the canopy is the Haunted Wood?”  "
"3783","1",3783,"Who has been telling you such stuff?”  "
"3801","1",3801,"“Anne Shirley, do you mean to tell me you believe all that wicked nonsense of your own imagination?”  "
"3824","1",3824,"“Oh, Marilla, how can you be so cruel?” "
"3826","1",3826,"“What would you feel like if a white thing did snatch me up and carry me off?”  "
"3844","1",3844,"“Well, so nothing caught you?” "
"3849","1",3849,"“Wasn’t it fortunate, Marilla, that I took an extra handkerchief to school today? "
"3871","1",3871,"But one can’t feel quite in the depths of despair with two months’ vacation before them, can they, Marilla? "
"3873","1",3873,"For all I was feeling so bad about Mr. Phillips going away I couldn’t help taking a little interest in a new minister, could I? "
"3879","1",3879,"Besides, she’s only been a minister’s wife for a little while, so one should make allowances, shouldn’t they? "
"3893","1",3893,"Mr. Gresham was a very good man and a very religious man, but he told too many funny stories and made the people laugh in church; he was undignified, and you must have some dignity about a minister, mustn’t you, Matthew? "
"3895","1",3895,"Mrs. Lynde is a very farseeing woman, isn’t she, Matthew? "
"3936","1",3936,"“But oh, Marilla, will you let me make a cake for the occasion? "
"3960","1",3960,"Do you suppose the dryad will come out after we go away and take it for a scarf?”  "
"3974","1",3974,"But do you think it will rise? "
"3975","1",3975,"Just suppose perhaps the baking powder isn’t good? "
"3979","1",3979,"Marilla, what if that cake doesn’t rise?”  "
"3984","1",3984,"“Can I fix the table with ferns and wild roses?”  "
"4005","1",4005,"she exclaimed, “what on earth did you put into that cake?”  "
"4007","1",4007,"“Oh, isn’t it all right?”  "
"4012","1",4012,"What flavoring did you use?”  "
"4022","1",4022,"I suppose it’s partly my fault--I should have warned you--but for pity’s sake why couldn’t you have smelled it?”  "
"4039","1",4039,"Won’t you tell Mrs. Allan so, Marilla?”  "
"4054","1",4054,"“Marilla, isn’t it nice to think that tomorrow is a new day with no mistakes in it yet?”  "
"4058","1",4058,"“But have you ever noticed one encouraging thing about me, Marilla? "
"4061","1",4061,"“Oh, don’t you see, Marilla? "
"4068","1",4068,"Now?” "
"4070","1",4070,"“Have you discovered another kindred spirit?” "
"4073","1",4073,"“No, Marilla, but oh, what do you think? "
"4100","1",4100,"Wouldn’t it be nice if it could last? "
"4104","1",4104,"What if I shouldn’t behave properly? "
"4107","1",4107,"Would it be good manners to take a second helping of anything if you wanted to _very_ much?”  "
"4129","1",4129,"But don’t you think the trying so hard ought to count for something? "
"4149","1",4149,"And would you believe it, Marilla? "
"4152","1",4152,"Mrs. Lynde came to the manse just before I left, and what do you think, Marilla? "
"4155","1",4155,"Isn’t that a romantic name? "
"4183","1",4183,"“Couldn’t I?” "
"4205","1",4205,"“Anne, are you killed?” "
"4209","1",4209,"“Where?” "
"4211","1",4211,"“Oh, where, Anne?” "
"4214","1",4214,"“What’s the matter? "
"4215","1",4215,"Where have you hurt yourself?” "
"4227","1",4227,"“Mr. Barry, what has happened to her?” "
"4244","1",4244,"“Aren’t you very sorry for me, Marilla?”  "
"4248","1",4248,"But what would you have done, Marilla, if you had been dared to walk a ridgepole?”  "
"4268","1",4268,"“Isn’t it fortunate I’ve got such an imagination?” "
"4271","1",4271,"What do people who haven’t any imagination do when they break their bones, do you suppose, Marilla?”  "
"4290","1",4290,"Isn’t that something to be proud of, Marilla? "
"4344","1",4344,"How can I be, when I’m such a dunce at geometry? "
"4351","1",4351,"Mustn’t it be splendid to be remarkable and have compositions written about you after you’re dead? "
"4373","1",4373,"“Well, when you can combine patriotism and fun, isn’t it all right? "
"4388","1",4388,"That would have been ridiculous, for who ever heard of a fairy queen as fat as Josie? "
"4394","1",4394,"You couldn’t imagine a fairy wearing boots, could you? "
"4395","1",4395,"Especially with copper toes? "
"4398","1",4398,"Oh, Marilla, I know you are not so enthusiastic about it as I am, but don’t you hope your little Anne will distinguish herself?”  "
"4420","1",4420,"Then in what did it consist?  "
"4451","1",4451,"“What can I do for you this evening, Mr. Cuthbert?” "
"4453","1",4453,"“Have you any--any--any--well now, say any garden rakes?” "
"4459","1",4459,"When Miss Harris returned with the rake and cheerfully inquired: “Anything else tonight, Mr. Cuthbert?” "
"4469","1",4469,"“White or brown?” "
"4480","1",4480,"“Whatever possessed you to get so much? "
"4490","1",4490,"“Pick out a dress for you to give Anne? "
"4493","1",4493,"Have you something particular in mind? "
"4494","1",4494,"No? "
"4497","1",4497,"Perhaps you’d like me to make it up for her, too, seeing that if Marilla was to make it Anne would probably get wind of it before the time and spoil the surprise? "
"4504","1",4504,"“Puffs? "
"4521","1",4521,"“So this is what Matthew has been looking so mysterious over and grinning about to himself for two weeks, is it?” "
"4538","1",4538,"Isn’t it a lovely Christmas? "
"4540","1",4540,"Any other kind of Christmas doesn’t seem real, does it? "
"4543","1",4543,"What makes people call them green? "
"4544","1",4544,"Why--why--Matthew, is that for me? "
